Requirement ID Number,Requirement Category,Requirement Statement,Priority,Rank,Source,Source Document,Release,Design Reference,Acceptance Test Reference,Comment
psm-FR-3.18,,The PSM shall Improve effectiveness of the risk-screening model in detecting fraud based issues,,,MN,Original PSC Master Evaluation Matrix,Release 1,,,
psm-FR-3.19,,The PSM shall Improve technical soundness of risk-scoring in flagging potential fraudulent patterns and tendencies,,,MN,Original PSC Master Evaluation Matrix,Release 1,,,
psm-FR-3.20,,The PSM shall define a common workflow for collecting enrollment information of individual providers,,,MN,Original PSC Master Evaluation Matrix,Alpha,,,
psm-FR-3.21,,The PSM shall save administrative/infrastructure cost by providing a multi-tenant provider screening solution,,,MN,Original PSC Master Evaluation Matrix,Release 1,,,
psm-FR-3.22,,The PSM shall reduce the time needed by providers to submit new/renewal application information and resolve discrepancies.,,,MN,Original PSC Master Evaluation Matrix,Release 1,,,
psm-FR-3.23,,The PSM shall reduce processing and transaction time for submitting and receiving queries to authoritative data sources regarding provider credentials and sanctions.,,,MN,Original PSC Master Evaluation Matrix,Release 1,,,
psm-FR-3.24,,"The PSM shall validate, and/or verify that all data items that contain self-checking digits (e.g., National Provider Identifier) passes a specified check-digit test. ",1,High ,MT,DM75,MVP - Sept,,,
psm-FR-3.25,,The PSM shall allow state reviewers to assign and queue applications.,,,MT,,,,,
,4.  Configurable Setting,,,,,,,,,
psm-FR-4.1,,"The PSM shall show a list of settings in which a provider might see clients/patients, including ""Other.""",,,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,Alpha,,,
psm-FR-4.2,,The PSM shall allow applicants to choose multiple care settings.,,,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,Alpha,,,
psm-FR-4.3,,"The PSM shall allow providers to update information and initiate re-screening process (e.g., in the following situations: name change, change of ownership/operator - whether or not it is the same practice location, address change, Federal Tax Identification Number change at same practice location, change from Social Security Number to Federal Tax Identification Number at same practice location, change from Federal Tax Identification Number to Social Security Number at same practice location, payment name or address change, and additional service location)",,,MO/WV,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,Alpha,,,
psm-FR-4.4,,"The PSM shall provide space for results of on-site visits, for moderate- and high-risk provider types.",,,VT,GrnMtnCareEnrollInst.pdf,Alpha,,,
psm-FR-4.5,,"The PSM shall support the Extract, Transform and Load (ETL) processes from real-time  web services or batch processes.",2,High ,MT,DM79,MVP - Sept,,,
psm-FR-4.6,,The PSM shall have the ability to enforce limits on the number of providers of a given type enrolled simultaneously.,,,SGC 2018-03-05,,Release 1,,,
psm-FR-4.7,,The PSM shall support admin-configurable automated re-screening.  C.f. psm-FR-7.3.,,,SGC 2018-03-05,,Release 1,,,
psm-FR-4.8,,The PSM shall support provider agents (a.k.a. service agents a.k.a. non-provider users) who act on a provider's behalf and whose authorization may be a subset of that provider's.,,,SGC 2018-03-05,,Beta,,,
,5. Manage Enrollment,,,,,,,,,
psm-FR-5.1,,The PSM shall issue Medicaid provider ID number to each approved provider.,,,VT,VTMedicaidProviderManual.pdf,Alpha,,,"Medicaid provider ID aka Atypical Provider Identifier (API).  Could be part of the help tip to include API.  If necessary, could change the Medicaid provider ID text field by adding  the following: (or Atypical Provider Identifier)."
psm-FR-5.2,,The PSM shall allow providers to terminate their enrollment on a specified date.,4,Medium,VT,VTMedicaidProviderManual.pdf,MVP - Dec,,,PSM should capture a termination reason code.  Need a list of termination reason code from WV. Have requirement for termination screen but not implemented yet in PSM.  
psm-FR-5.3,,The PSM shall require providers to give 30 days notice before terminating enrollment.,4,Low,VT,VTMedicaidProviderManual.pdf,MVP - Dec,,,
psm-FR-5.4,,The PSM shall require PC Plus providers to give 90 days notice before terminating enrollment.,,,VT,VTMedicaidProviderManual.pdf,Beta,,,
psm-FR-5.5,,"The PSM shall maintain the capability to limit billing and providers to certain benefit plans, services, by procedure codes, ranges of procedure codes, member age or by provider type(s) or as otherwise directed by the State.",,,"Pre-certification
PM.PR2.7",pre-certification-requirements.md,Post R1,,,
psm-FR-5.6,,The PSM shall require revalidation period to be configurable.,,,VT/WV,GrnMtnCareEnrollInst.pdf,Alpha,,,
psm-FR-5.7,,PSM shall terminate enrollment if revalidation is not completed.  ,,,VT/WV,,Alpha,,,
psm-FR-5.8,,The PSM shall capture a termination reason code that is provided by the State,,,WV,,Alpha,,,
,"6. Retention, Reporting and Auditing",,,,,,,,,
psm-FR-6.1,,The PSM shall download all monitoring risk scores for each month as a CSV,,,MO,Screening and Auditing Notes.docx,Beta,,,
psm-FR-6.2,,The PSM shall maintain date-specific provider enrollment and demographic data.,,,"Pre-certification
PM.PR1.7",pre-certification-requirements.md,Alpha,,,
psm-FR-6.3,,"The PSM shall maintain an audit trail of all updates to the provider data, for a time period specified by the state.",,,"Pre-certification
MITA PM.PR3.6",pre-certification-requirements.md,Beta,,,
psm-FR-6.4,,The PSM shall remember previous rejected providers and reasons for rejection corresponding form fields,,,MN,Original PSC Master Evaluation Matrix,Beta,,,
psm-FR-6.5,,"The PSM shall, to extent permitted by law, make screening data available for analytics and other reporting purposes.",,,LA,PSM State Calls Requirements_functionality needs.xlsx,Beta,,,"Does this include development of and tech support for common enrollment reports? Tech support for ad hoc reports?  Tech support report will be provided separately and not part of PSM.  Currently no reporting against database with PSM, this would be a separate requirement for ad-hoc report generation.  Question for WV:  what reports are you interested in?"
psm-FR-6.6,,"The PSM shall keep a record of the date of each screening/monitoring event, the score, and the agencies decision for each provider.",,,MO,Screening and Auditing Notes.docx,Beta,,,
psm-FR-6.7,,The PSM shall store monthly audit record for a provider even if their information has not changed.,,,MO,Screening and Auditing Notes.docx,Beta,,,
psm-FR-6.8,,"The PSM shall provide an input to document the nature for the type of screening/monitoring event, the score, and the agencies decision for each provider.",,,WV,,Beta,,,
,7. Usability,,,,,,,,,
psm-FR-7.1,,The PSM shall provide per-field instructions on the application screen.,,,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,Beta,,,
psm-FR-7.2,,The PSM shall provide detailed instructions for completing the application via a Help link.,,,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,Alpha,,,
psm-FR-7.3,,The PSM shall not send re-screening results to admin for review if provider information has not changed.,,,MO,Screening and Auditing Notes.docx,Alpha,,,
psm-FR-7.4,,The PSM shall provide a screen to verify entered information.,2,Low,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,MVP - Sept,,,
psm-FR-7.5,,The PSM shall allow applicant to edit entered information.,2,Low,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,MVP - Sept,,,
psm-FR-7.6,,The PSM shall allow applicant to print application for their records.,2,Low,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,MVP - Sept,,,
psm-FR-7.7,,The PSM shall allow applicant to save a partial application as a draft.,2,Low,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,MVP - Sept,,,
psm-FR-7.8,,The PSM shall indicate which fields are required.,1,Low,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,MVP - Sept,,,
psm-FR-7.9,,The PSM shall prevent application submission if required fields are empty.,1,Low,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,MVP - Sept,,,
psm-FR-7.10,,The PSM shall show integrated history of a provider record -- allow users to scroll back in history to see changes over time without needing to navigate to separate files.,,,LA,PSM State Calls Requirements_functionality needs.xlsx,Beta,,,
psm-FR-7.11,,The PSM shall validate entered information as provider fills out application (not at the end of the process).,1,High ,OH,PSM State Calls Requirements_functionality needs.xlsx,MVP - Sept,,,
psm-FR-7.12,,"The PSM shall provide a configurable time frame for a ""stale"" enrollment draft application. ",,,WV,,Beta,,,
psm-FR-7.13,,The PSM shall support searching and pattern-matching based on all fields accepted as input (and based on all reasonable combinations of such fields).,,,SGC 2018-03-05,,,,,
psm-FR-7.14,,"The PSM's user interface shall be as simple, comprehensible, navigable, reliable, robust in the face of error, and responsive as possible.",,,SGC 2018-03-05,,Beta,,,
psm-FR-7.15,,The PSM shall provide instructions for using the application as an administrator via a help link or similar feature.,,,,,,,,
,8.  Manage Provider Communication,,,,,,,,,
psm-FR-8.1,,The PSM shall support communications to and from providers and track and monitor responses to the communications.,,,"Pre-certification
PM.PR1.5",pre-certification-requirements.md,Beta,,,
psm-FR-8.2,,"The PSM shall generate information requests, correspondence, or notifications based on the status of the application for enrollment.",,,"Pre-certification
PM.PR1.8",pre-certification-requirements.md,Beta,,,
psm-FR-8.3,,The PSM shall support automated criminal background checks for all providers as specified by the State.,,,"Pre-certification
PM.PR2.9",pre-certification-requirements.md,Beta,,,
psm-FR-8.4,,"The PSM shall produce notices to applicants of pending status, approval, or rejection of their applications.",,,"Pre-certification
E&E.PR1.1",pre-certification-requirements.md,Beta,,,
psm-FR-8.5,,"The PSM shall add a attestation, using configurable link or text, to the reading and understanding of the required state Medicaid agency materials prior to enrollment.  ",,,WV,,Release 1,,,
,9.  Meets architecture guideline,,,,,,,,,
psm-FR-9.1,,The PSM shall integrate provider-type business rules described in the Enrollment Information Guide into the system.,,,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,Release 1,,,
psm-FR-9.2,,The PSM shall integrate records with MO HealthNet.,,,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,Post R1,,,
psm-FR-9.3,,The PSM shall support a provider appeals process in compliance with federal guidelines (42 CFR 431.105),,,"Pre-certification
PM.PR1.6",pre-certification-requirements.md,Release 1,,,
psm-FR-9.4,,"The PSM shall verify provider eligibility in support of other system processes, i.e. payment of claims.",,,"Pre-certification
PM.PR2.3",pre-certification-requirements.md,Release 1,,,
psm-FR-9.5,,The PSM shall ensure proprietary interfaces and protocols between modules are not used.,1,Medium,MT,INR12,MVP - Sept,,,
,10. Compliance,,,,,,,,,
psm-FR-10.1,,The PSM shall validate HIPAA Taxonomy codes against http://www.wpc-edi.com/codes/taxonomy,,,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,Release 1,,,
psm-FR-10.2,,The PSM shall be accessible in compliance with Section 508 of the Rehabilitation Act.,,,SGC 2018-03-05,,Beta,,,
